,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
20,med,HMMViterbi,1,3,1.0,0.03217,2.35,3.8184210526315803,47.0,0.0,9.0,20.0,20.0,1.6248600223964171,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
21,med,HMMViterbi,0,0,-1.0,0.032189999999999996,0.25405405405405407,0.28062478062478063,235.0,0.0,4.0,925.0,924.9999999999999,1.104586902459243,3.2879797461071463,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
22,med,HMMViterbi,1,3,1.0,0.033115,1.6470588235294117,1.2426470588235297,28.0,0.0,4.0,17.0,17.0,0.7544642857142859,24.253562503633297,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
23,med,HMMViterbi,0,0,-1.0,0.033132,0.2540425531914894,0.25769970018930644,597.0,0.0,4.0,2350.0,2350.0,1.0143958047652766,2.062842492517587,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
24,med,HMMViterbi,1,3,1.0,0.035482,1.7692307692307692,1.8589743589743588,23.0,0.0,5.0,13.0,13.0,1.0507246376811594,27.735009811261456,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
25,med,HMMViterbi,0,0,-1.0,0.035495,0.2603626943005181,0.2732387787880621,201.0,0.0,3.0,772.0,772.0,1.0494544140516613,3.5990787537434725,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
26,med,HMMViterbi,1,3,1.0,0.036267,1.8333333333333333,1.8840579710144931,44.0,0.0,5.0,24.0,24.0,1.0276679841897236,20.41241452319315,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
27,med,HMMViterbi,0,0,-1.0,0.036291,0.1875,0.15558510638297873,9.0,0.0,1.0,48.0,48.0,0.8297872340425533,14.433756729740644,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
28,med,HMMViterbi,1,3,1.0,0.036338999999999996,1.2666666666666666,0.49523809523809526,19.0,0.0,2.0,15.0,14.999999999999998,0.3909774436090226,25.819888974716115,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
29,med,HMMViterbi,0,0,-1.0,0.036354,0.3037974683544304,0.3680623174294059,24.0,0.0,3.0,79.0,79.0,1.2115384615384612,11.250879009260238,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
